Testing v8 version different from logging version
Statistical profiling result from isolate-0x7a8c21b99040-1-v8.log, (35871 ticks, 220 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.0%  JS: *<anonymous> /app/node_modules/socket.io/dist/client.js:213:39
      4    0.0%    0.0%  Builtin: TypedArrayPrototypeLength
      4    0.0%    0.0%  Builtin: StoreFastElementIC_GrowNoTransitionHandleCOW
      4    0.0%    0.0%  Builtin: SetConstructor
      4    0.0%    0.0%  Builtin: ObjectKeys
      4    0.0%    0.0%  Builtin: JSEntryTrampoline
      4    0.0%    0.0%  Builtin: GrowFastDoubleElements
      4    0.0%    0.0%  Builtin: CreateEmptyLiteralObject
      4    0.0%    0.0%  Builtin: Construct
      4    0.0%    0.0%  Builtin: ArrayPrototypeShift
      3    0.0%    0.0%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      3    0.0%    0.0%  RegExp: ^(\/\/?(?!\/)[^?\s]*)(\?[^\s]*)?$
      3    0.0%    0.0%  JS: ^writeHead node:_http_server:342:19
      3    0.0%    0.0%  JS: ^onPacket /app/node_modules/engine.io/build/socket.js:89:13
      3    0.0%    0.0%  JS: ^_dump node:_http_incoming:432:49
      3    0.0%    0.0%  JS: ^Socket._final node:net:515:35
      3    0.0%    0.0%  JS: *slice node:buffer:625:12
      3    0.0%    0.0%  JS: *set node:internal/streams/readable:131:8
      3    0.0%    0.0%  JS: *parse node:url:169:37
      3    0.0%    0.0%  JS: *ondecoded /app/node_modules/socket.io/dist/client.js:194:14
      3    0.0%    0.0%  JS: *matchKnownFields node:_http_incoming:279:26
      3    0.0%    0.0%  JS: *getPayloadLength16 /app/node_modules/ws/lib/receiver.js:319:21
      3    0.0%    0.0%  JS: *emitUntyped /app/node_modules/socket.io/dist/typed-events.js:68:16
      3    0.0%    0.0%  JS: *emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
      3    0.0%    0.0%  JS: *destroy node:internal/streams/destroy:48:17
      3    0.0%    0.0%  JS: *Writable.uncork node:internal/streams/writable:512:37
      3    0.0%    0.0%  JS: *ReadableState node:internal/streams/readable:260:23
