Testing v8 version different from logging version
Statistical profiling result from isolate-0x7867bc665040-1-v8.log, (37088 ticks, 96 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5    0.0%    0.1%  Builtin: BitwiseAnd_Baseline
      4    0.0%    0.1%  JS: *set node:internal/streams/readable:131:8
      4    0.0%    0.1%  JS: *parserOnHeadersComplete node:_http_common:72:33
      4    0.0%    0.1%  JS: *module.exports /app/node_modules/qs/lib/parse.js:239:27
      4    0.0%    0.1%  JS: *get node:internal/streams/duplex:159:8
      4    0.0%    0.1%  JS: *_storeHeader node:_http_outgoing:458:22
      4    0.0%    0.1%  JS: *Readable.resume node:internal/streams/readable:1225:37
      4    0.0%    0.1%  JS: *Readable.pipe node:internal/streams/readable:907:35
      4    0.0%    0.1%  Builtin: StringSubstring
      4    0.0%    0.1%  Builtin: StringEqual
      4    0.0%    0.1%  Builtin: StoreICBaseline
      4    0.0%    0.1%  Builtin: StoreFastElementIC_Standard
      4    0.0%    0.1%  Builtin: LoadIC_FunctionPrototype
      4    0.0%    0.1%  Builtin: FindOrderedHashMapEntry
      4    0.0%    0.1%  Builtin: DefineNamedOwnIC
      4    0.0%    0.1%  Builtin: CreateEmptyArrayLiteral
      4    0.0%    0.1%  Builtin: BitwiseOr_Baseline
      4    0.0%    0.1%  Builtin: ArrayForEach
      4    0.0%    0.1%  Builtin: Add_Baseline
      3    0.0%    0.1%  RegExp: [^\t\x20-\x7e\x80-\xff]
      3    0.0%    0.1%  JS: ^writeHeaders /app/node_modules/http-proxy/lib/http-proxy/passes/web-outgoing.js:85:38
      3    0.0%    0.1%  JS: ^writeHead node:_http_server:342:19
      3    0.0%    0.1%  JS: ^onwrite node:internal/streams/writable:607:17
      3    0.0%    0.1%  JS: ^connectionListenerInternal node:_http_server:650:36
      3    0.0%    0.1%  JS: ^clearBuffer node:internal/streams/writable:735:21
      3    0.0%    0.1%  JS: ^Writable.uncork node:internal/streams/writable:512:37
      3    0.0%    0.1%  JS: ^Socket node:net:353:16
      3    0.0%    0.1%  JS: ^Readable.pipe node:internal/streams/readable:907:35
      3    0.0%    0.1%  JS: ^<anonymous> node:internal/console/constructor:358:10
      3    0.0%    0.1%  JS: *set node:internal/streams/readable:184:8
      3    0.0%    0.1%  JS: *removeListener node:events:681:28
      3    0.0%    0.1%  JS: *parseQueryStringValues /app/node_modules/qs/lib/parse.js:51:50
      3    0.0%    0.1%  JS: *noop node:internal/util/debuglog:46:14
      3    0.0%    0.1%  JS: *listenerCount node:events:853:23
      3    0.0%    0.1%  JS: *get node:_http_incoming:112:16
      3    0.0%    0.1%  JS: *freeParser node:_http_common:182:20
      3    0.0%    0.1%  JS: *emitReadable_ node:internal/streams/readable:828:23
      3    0.0%    0.1%  JS: *afterConnect node:net:1548:22
      3    0.0%    0.1%  JS: *addListener node:events:610:58
      3    0.0%    0.1%  JS: *Socket node:net:353:16
      3    0.0%    0.1%  JS: *Duplex node:internal/streams/duplex:62:16
      3    0.0%    0.1%  Builtin: TypedArrayPrototypeLength
      3    0.0%    0.1%  Builtin: ToString
      3    0.0%    0.1%  Builtin: RegExpReplace
      3    0.0%    0.1%  Builtin: RegExpPrototypeTest
      3    0.0%    0.1%  Builtin: ObjectPrototypeHasOwnProperty
      3    0.0%    0.1%  Builtin: LessThan_Baseline
      3    0.0%    0.1%  Builtin: KeyedStoreICTrampoline
      3    0.0%    0.1%  Builtin: GreaterThanOrEqual_Baseline
      3    0.0%    0.1%  Builtin: FunctionPrototypeHasInstance
      3    0.0%    0.1%  Builtin: FulfillPromise
      3    0.0%    0.1%  Builtin: FastNewStrictArguments
      3    0.0%    0.1%  Builtin: ConstructFunction
      3    0.0%    0.1%  Builtin: CEntry_Return1_ArgvOnStack_BuiltinExit
      3    0.0%    0.1%  Builtin: AsyncFunctionEnter
      3    0.0%    0.1%  Builtin: ArrayPrototypeSlice
      3    0.0%    0.1%  Builtin: ArrayPrototypeJoin
      2    0.0%    0.0%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      2    0.0%    0.0%  RegExp: (^|,)\s*upgrade\s*($|,)
      2    0.0%    0.0%  RegExp: (?:^|\W)close(?:$|\W)
      2    0.0%    0.0%  JS: ^stream /app/node_modules/http-proxy/lib/http-proxy/passes/web-incoming.js:100:26
      2    0.0%    0.0%  JS: ^socketOnData node:_http_client:528:22
      2    0.0%    0.0%  JS: ^onStreamRead node:internal/stream_base_commons:167:22
      2    0.0%    0.0%  JS: ^module.exports /app/node_modules/qs/lib/parse.js:239:27
      2    0.0%    0.0%  JS: ^lookupAndConnect node:net:1271:26
      2    0.0%    0.0%  JS: ^internalConnect node:net:1032:25
      2    0.0%    0.0%  JS: ^getOrSetAsyncId node:internal/async_hooks:421:25
      2    0.0%    0.0%  JS: ^getInfo /app/node_modules/ws/lib/receiver.js:166:10
      2    0.0%    0.0%  JS: ^expressInit /app/node_modules/express/lib/middleware/init.js:29:30
      2    0.0%    0.0%  JS: ^emit /app/node_modules/eventemitter3/index.js:166:44
      2    0.0%    0.0%  JS: ^compareTimersLists node:internal/timers:412:28
      2    0.0%    0.0%  JS: ^common.setupOutgoing /app/node_modules/http-proxy/lib/http-proxy/common.js:33:32
      2    0.0%    0.0%  JS: ^addRequest node:_http_agent:240:49
      2    0.0%    0.0%  JS: ^Socket.connect node:net:1189:36
      2    0.0%    0.0%  JS: ^Socket._writeGeneric node:net:921:42
      2    0.0%    0.0%  JS: ^Event /app/node_modules/ws/lib/event-target.js:24:14
      2    0.0%    0.0%  JS: ^<anonymous> node:internal/validators:175:40
      2    0.0%    0.0%  JS: *set node:net:2307:6
      2    0.0%    0.0%  JS: *process_params /app/node_modules/express/lib/router/index.js:338:47
      2    0.0%    0.0%  JS: *parserOnMessageComplete node:_http_common:137:33
      2    0.0%    0.0%  JS: *onfinish node:internal/streams/readable:1040:20
      2    0.0%    0.0%  JS: *onceWrapper node:events:628:21
      2    0.0%    0.0%  JS: *normalizeServerName node:_http_agent:345:29
      2    0.0%    0.0%  JS: *next /app/node_modules/express/lib/router/index.js:177:16
      2    0.0%    0.0%  JS: *getName node:_http_agent:218:43
      2    0.0%    0.0%  JS: *endReadableNT node:internal/streams/readable:1690:23
